Designator,Footprint,Quantity,Value,LCSC Part #
J1_2,HEE70LP03BK_NumberedPads_CardGuide,1,BOT_RAIL_POS,
J1,PinHeader_1x1_Smallest,1,BOT_RAIL_POS,
J12,SideConnect_short_right_Drawing,1,Conn_02x03_Top_Bottom,
J13,SideConnect_short_left_Drawing,1,Conn_02x03_Top_Bottom,
J2,PinHeader_1x1_Smallest,1,TOP_RAIL_POS,
J3,PinHeader_1x1_Smallest,1,BOT_RAIL_NEG,
J4,PinHeader_1x1_Smallest,1,TOP_RAIL_NEG,
J5,PinHeader_1x1_Smallest,1,CENTER,
J6,SideConnect_sparserrr_Bottom_drawing,1,LED_GND,
"JP10, JP11, JP12, JP5, JP6, JP7, JP8, JP9",SolderJumper_2_Bridged_Small,8,JMP,
"TP10, TP6, TP7, TP8",Conn_1x1_clipLeads,4,TestPoint,
"TP2, TP3",Banana_Plus,2,TestPoint,
"TP4, TP9",Banana_Minus,2,TestPoint,
U3,SideConnect_sparserrr_Top,1,~,
U4,HEE70LP03BK_CardSide,1,~,
U5,Conn_2x30_breadboard_double_WS,1,~,
U9,P0.40_HC-PBB40C-70DS-0.4V-3.0-02_wscob,1,~,
